#Filenum,Time,flux,errFlux,weightMean,errWeightMean,ratio,ratioErr
298,29.662950,302032,399,28015.542163,47.095687,10.780873,0.023050
299,29.772667,308980,404,28929.148332,47.802751,10.680577,0.022506
300,29.881867,301875,399,29714.342802,48.472347,10.159235,0.021330
301,29.991333,305251,401,29775.183398,48.510927,10.251860,0.021456
302,30.101050,300887,399,29712.573636,48.564267,10.126588,0.021314
303,30.210767,300717,398,29834.031099,48.466572,10.079664,0.021121
304,30.320233,301369,399,30044.438404,48.820432,10.030775,0.021025
305,30.429950,300168,398,29923.177516,48.231381,10.031288,0.020937
306,30.539417,297091,396,29705.405104,48.147677,10.001244,0.020988
307,30.648617,302735,399,29832.205863,48.047126,10.147925,0.021119
308,30.758333,304843,401,29969.514849,48.187650,10.171770,0.021131
309,30.867783,294518,394,29557.876827,47.981644,9.964112,0.020960
310,30.977250,297956,396,29803.856525,48.117096,9.997230,0.020906
311,31.086450,295538,395,29738.238778,48.141948,9.937979,0.020863
312,31.195917,300028,398,29568.861995,48.023950,10.146755,0.021278
313,31.305367,301134,398,29649.375447,48.077183,10.156504,0.021247
314,31.414833,297120,396,29984.165921,48.194953,9.909230,0.020691
315,31.523767,304622,400,29651.025948,48.039282,10.273574,0.021425
316,31.632450,298332,396,29636.929802,47.969081,10.066225,0.021071
317,31.741650,303356,400,29576.876850,47.992938,10.256526,0.021445
318,31.851367,304308,400,29630.149685,48.019104,10.270215,0.021431
319,31.961100,304208,400,29532.342176,47.934475,10.300842,0.021517
320,32.070550,305662,401,29888.666384,48.196270,10.226686,0.021259
321,32.180017,302529,399,29777.393593,48.130600,10.159687,0.021195
322,32.289733,301246,398,29636.982655,47.932770,10.164530,0.021227
323,32.399717,302951,399,29610.438494,48.089544,10.231223,0.021393
324,32.509433,307705,402,29686.052246,48.053059,10.365305,0.021561
325,32.618900,300410,398,29504.757017,47.995976,10.181748,0.021361
326,32.728350,298092,396,29800.284049,48.147914,10.002992,0.020923
327,32.837817,310782,404,29784.942450,48.184859,10.434198,0.021654
328,32.947267,300305,398,29687.293024,48.023180,10.115607,0.021154
329,33.057000,303883,400,29658.346328,47.997357,10.246121,0.021374
330,33.166450,303461,400,29743.383945,48.132906,10.202639,0.021295
331,33.275917,294684,394,29598.390888,48.047932,9.956082,0.020938
332,33.385117,305103,401,29606.933595,48.080875,10.305120,0.021529
333,33.494583,300966,398,29943.450479,48.133420,10.051146,0.020922
334,33.603783,299863,397,29782.144952,48.131090,10.068549,0.021035
335,33.713233,302691,399,29523.651763,47.887158,10.252492,0.021429
336,33.822183,304254,400,29794.445334,48.187809,10.211769,0.021284
337,33.931117,305034,401,29652.289429,48.002161,10.287030,0.021452
338,34.040317,296801,395,29520.659074,48.023472,10.054010,0.021132
339,34.149783,305365,401,29476.408085,47.952893,10.359641,0.021659
340,34.259500,300462,398,29579.053343,47.934475,10.157932,0.021261
341,34.368950,302510,399,29481.803147,47.967004,10.260906,0.021491
342,34.478150,299881,397,29651.034918,48.052863,10.113677,0.021164
343,34.587617,303527,400,29652.974159,48.038616,10.235972,0.021376
344,34.697083,303484,400,29727.337736,48.133766,10.208920,0.021314
345,34.806800,299777,397,29637.922614,48.081287,10.114643,0.021182
346,34.916517,300872,398,29659.639274,48.029414,10.144156,0.021211
347,35.025717,295333,395,29640.649171,48.073509,9.963783,0.020946
348,35.135183,305928,401,29622.559742,48.057947,10.327534,0.021540
349,35.244633,295915,395,29730.119445,48.074015,9.953374,0.020870
350,35.353833,301601,399,29668.234997,47.988750,10.165788,0.021243
351,35.463300,308534,403,29549.563073,48.014977,10.441237,0.021768
352,35.572767,305416,401,29542.610183,48.006407,10.338152,0.021598
353,35.681967,307872,402,29416.187522,47.947242,10.466074,0.021858
354,35.791417,302213,399,29766.459155,48.093631,10.152803,0.021184
355,35.900883,293962,394,29502.920580,48.006790,9.963827,0.021005
356,36.010333,301555,398,29757.967257,48.096506,10.133589,0.021146
357,36.119800,301484,398,29715.181292,48.010285,10.145790,0.021168
358,36.229517,299999,398,29724.272165,48.153360,10.092728,0.021133
359,36.338717,294638,394,29731.073689,48.095136,9.910103,0.020800
360,36.448433,295410,395,29844.109441,48.204769,9.898436,0.020756
361,36.558167,302310,399,29740.856681,48.115697,10.164805,0.021223
362,36.668133,303546,400,29605.478550,47.964554,10.253035,0.021412
363,36.777333,297679,396,29626.527639,48.074551,10.047718,0.021083
364,36.887067,299203,397,29608.605837,48.020669,10.105271,0.021175
365,36.996783,305034,401,29689.562101,48.038835,10.274116,0.021419
366,37.106250,303048,399,29769.352189,48.060668,10.179865,0.021207
367,37.215700,299977,397,29570.079090,48.043439,10.144613,0.021258
368,37.325417,300665,398,29413.600451,47.876207,10.221972,0.021446
369,37.434617,299562,397,29606.258700,47.873875,10.118198,0.021154
370,37.544083,303123,399,29545.842452,47.690773,10.259413,0.021368
371,37.653800,301034,398,29797.271562,47.935756,10.102737,0.021037
372,37.763267,305715,401,29528.293017,47.617433,10.353291,0.021521
373,37.872717,299909,397,29610.854479,47.915535,10.128347,0.021175
374,37.982450,301408,398,29835.372459,48.079210,10.102371,0.021047
375,38.091900,300414,398,29647.578209,48.045123,10.132834,0.021210
376,38.201367,303329,400,29641.314495,48.083251,10.233318,0.021393
377,38.311083,294668,394,29865.771091,48.241624,9.866412,0.020689
378,38.420283,299768,397,29688.177560,48.117523,10.097218,0.021134
379,38.530000,301636,399,29725.417738,48.134598,10.147410,0.021217
